WildType_NoTreatment
WildType+DMSO
WildType+500nM
WildType+20uM
IRAK4KI_NoTreatment
IRAK4KI+DMSO
IRAK4KI+500nM
IRAK4KI+20uM
IRAK1KI_NoTreatment
IRAK1KI+DMSO
IRAK1KI+500nM
IRAK1KI+20uM
